Provider,Location,Device,Aggregate Date,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Tajikistan,,Feb-20,mean,,,23.41,23.9
All Providers Combined,Uzbekistan,,Feb-20,median,,,14.25,12.83
All Providers Combined,Uzbekistan,,Feb-20,mean,,,26.3,26.52
All Providers Combined,Azerbaijan,,Mar-20,median,,,9.51,9.86
All Providers Combined,Azerbaijan,,Mar-20,mean,,,19.93,21.54
All Providers Combined,Armenia,,Mar-20,median,,,19.48,19.2
All Providers Combined,Armenia,,Mar-20,mean,,,27.13,27.18
All Providers Combined,Belarus,,Mar-20,median,,,35.1,31.54
All Providers Combined,Belarus,,Mar-20,mean,,,58.12,47.89
All Providers Combined,Kazakhstan,,Mar-20,median,,,20.96,20.86
All Providers Combined,Kazakhstan,,Mar-20,mean,,,41.15,40.34
All Providers Combined,Kyrgyzstan,,Mar-20,median,,,21.77,24.79
All Providers Combined,Kyrgyzstan,,Mar-20,mean,,,29.27,31.04
All Providers Combined,Russia,,Mar-20,median,,,43.38,49.81
All Providers Combined,Russia,,Mar-20,mean,,,64.57,72.35
All Providers Combined,Tajikistan,,Mar-20,median,,,9.44,7.26
All Providers Combined,Tajikistan,,Mar-20,mean,,,24.51,24.55
All Providers Combined,Uzbekistan,,Mar-20,median,,,15.55,15.29
All Providers Combined,Uzbekistan,,Mar-20,mean,,,26.92,27.46
All Providers Combined,Azerbaijan,,Apr-20,median,,,8.94,8.76
All Providers Combined,Azerbaijan,,Apr-20,mean,,,19.77,20.91
All Providers Combined,Armenia,,Apr-20,median,,,19.25,18.75
All Providers Combined,Armenia,,Apr-20,mean,,,26.18,25.53
All Providers Combined,Belarus,,Apr-20,median,,,33.81,29.75
All Providers Combined,Belarus,,Apr-20,mean,,,55.95,45.77
All Providers Combined,Kazakhstan,,Apr-20,median,,,20.2,20.69
All Providers Combined,Kazakhstan,,Apr-20,mean,,,39.8,39.36
All Providers Combined,Kyrgyzstan,,Apr-20,median,,,23.67,25.32
All Providers Combined,Kyrgyzstan,,Apr-20,mean,,,31.43,29.02
All Providers Combined,Russia,,Apr-20,median,,,43.43,48.76
All Providers Combined,Russia,,Apr-20,mean,,,63.54,70.14
All Providers Combined,Tajikistan,,Apr-20,median,,,9.32,7.93
All Providers Combined,Tajikistan,,Apr-20,mean,,,24.16,24.51
All Providers Combined,Uzbekistan,,Apr-20,median,,,13.24,11.87
All Providers Combined,Uzbekistan,,Apr-20,mean,,,25.82,25.99
All Providers Combined,Azerbaijan,,May-20,median,,,9.83,9.99
All Providers Combined,Azerbaijan,,May-20,mean,,,20.82,22.26
All Providers Combined,Armenia,,May-20,median,,,19.38,18.5
All Providers Combined,Armenia,,May-20,mean,,,26.8,25.64
All Providers Combined,Belarus,,May-20,median,,,36.84,33.9
All Providers Combined,Belarus,,May-20,mean,,,59.62,49.65
All Providers Combined,Kazakhstan,,May-20,median,,,23.74,23.41
All Providers Combined,Kazakhstan,,May-20,mean,,,44.1,43.06
All Providers Combined,Kyrgyzstan,,May-20,median,,,26.77,26.65
All Providers Combined,Kyrgyzstan,,May-20,mean,,,35.77,33.04
All Providers Combined,Russia,,May-20,median,,,45.17,50.35
All Providers Combined,Russia,,May-20,mean,,,66.08,72.91
All Providers Combined,Tajikistan,,May-20,median,,,8.74,5.79
All Providers Combined,Tajikistan,,May-20,mean,,,24.1,25.24
All Providers Combined,Uzbekistan,,May-20,median,,,14.32,12.96
All Providers Combined,Uzbekistan,,May-20,mean,,,26.51,26.45
All Providers Combined,Azerbaijan,,Jun-20,median,,,9.82,10.09
All Providers Combined,Azerbaijan,,Jun-20,mean,,,21.24,22.87
All Providers Combined,Armenia,,Jun-20,median,,,19.54,18.95
All Providers Combined,Armenia,,Jun-20,mean,,,26.99,26.17
All Providers Combined,Belarus,,Jun-20,median,,,35.45,32.69
All Providers Combined,Belarus,,Jun-20,mean,,,56.23,47.53
All Providers Combined,Kazakhstan,,Jun-20,median,,,25.36,24.59
All Providers Combined,Kazakhstan,,Jun-20,mean,,,46.31,44.54
All Providers Combined,Kyrgyzstan,,Jun-20,median,,,28.14,28.93
All Providers Combined,Kyrgyzstan,,Jun-20,mean,,,40.26,38.12
All Providers Combined,Russia,,Jun-20,median,,,45.98,50.96
All Providers Combined,Russia,,Jun-20,mean,,,68.78,75.05
All Providers Combined,Tajikistan,,Jun-20,median,,,13.19,9.56
All Providers Combined,Tajikistan,,Jun-20,mean,,,27.59,29.95
All Providers Combined,Uzbekistan,,Jun-20,median,,,17.48,15.79
All Providers Combined,Uzbekistan,,Jun-20,mean,,,28.52,27.53
All Providers Combined,Azerbaijan,,Jul-20,median,,,9.03,9.18
All Providers Combined,Azerbaijan,,Jul-20,mean,,,21.27,22.43
All Providers Combined,Armenia,,Jul-20,median,,,20.79,19.89
All Providers Combined,Armenia,,Jul-20,mean,,,29.27,27.67
All Providers Combined,Belarus,,Jul-20,median,,,38.54,34.56
All Providers Combined,Belarus,,Jul-20,mean,,,64.9,50
All Providers Combined,Kazakhstan,,Jul-20,median,,,23.58,22.93
All Providers Combined,Kazakhstan,,Jul-20,mean,,,46.51,43.15
All Providers Combined,Kyrgyzstan,,Jul-20,median,,,29.25,27.99
All Providers Combined,Kyrgyzstan,,Jul-20,mean,,,41.48,35.73
All Providers Combined,Russia,,Jul-20,median,,,47.51,51.77
All Providers Combined,Russia,,Jul-20,mean,,,73.16,77.51
All Providers Combined,Tajikistan,,Jul-20,median,,,16.96,15.63
All Providers Combined,Tajikistan,,Jul-20,mean,,,30.69,31.79
All Providers Combined,Uzbekistan,,Jul-20,median,,,19.02,17.67
All Providers Combined,Uzbekistan,,Jul-20,mean,,,30.14,29.04
All Providers Combined,Azerbaijan,,Aug-20,median,,,9.97,10.31
All Providers Combined,Azerbaijan,,Aug-20,mean,,,22.29,23.48
