Provider,Location,Device,Aggregate Date,Technology Type,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Uzbekistan,,Oct-19,cellular,median,,,6.2,3.63
All Providers Combined,Uzbekistan,,Oct-19,cellular,mean,,,9.48,5.73
All Providers Combined,Azerbaijan,,Nov-19,cellular,median,,,23.97,10.96
All Providers Combined,Azerbaijan,,Nov-19,cellular,mean,,,30.26,16.11
All Providers Combined,Armenia,,Nov-19,cellular,median,,,20.74,9.89
All Providers Combined,Armenia,,Nov-19,cellular,mean,,,29.76,13.3
All Providers Combined,Belarus,,Nov-19,cellular,median,,,9.13,4.83
All Providers Combined,Belarus,,Nov-19,cellular,mean,,,14.84,9.89
All Providers Combined,Kazakhstan,,Nov-19,cellular,median,,,12,9.48
All Providers Combined,Kazakhstan,,Nov-19,cellular,mean,,,18.76,12.19
All Providers Combined,Kyrgyzstan,,Nov-19,cellular,median,,,11.17,7.83
All Providers Combined,Kyrgyzstan,,Nov-19,cellular,mean,,,15.69,10.96
All Providers Combined,Russia,,Nov-19,cellular,median,,,13.05,7.56
All Providers Combined,Russia,,Nov-19,cellular,mean,,,20.38,10.45
All Providers Combined,Tajikistan,,Nov-19,cellular,median,,,5.84,2.58
All Providers Combined,Tajikistan,,Nov-19,cellular,mean,,,9.82,5.53
All Providers Combined,Uzbekistan,,Nov-19,cellular,median,,,6.09,3.53
All Providers Combined,Uzbekistan,,Nov-19,cellular,mean,,,9.41,5.66
All Providers Combined,Azerbaijan,,Dec-19,cellular,median,,,25.25,11.08
All Providers Combined,Azerbaijan,,Dec-19,cellular,mean,,,32.66,16.2
All Providers Combined,Armenia,,Dec-19,cellular,median,,,20.64,9.92
All Providers Combined,Armenia,,Dec-19,cellular,mean,,,30.27,13.24
All Providers Combined,Belarus,,Dec-19,cellular,median,,,10.06,5.19
All Providers Combined,Belarus,,Dec-19,cellular,mean,,,15.67,9.58
All Providers Combined,Kazakhstan,,Dec-19,cellular,median,,,12.48,9.39
All Providers Combined,Kazakhstan,,Dec-19,cellular,mean,,,19.59,12.12
All Providers Combined,Kyrgyzstan,,Dec-19,cellular,median,,,11.38,7.15
All Providers Combined,Kyrgyzstan,,Dec-19,cellular,mean,,,16.17,10.07
All Providers Combined,Russia,,Dec-19,cellular,median,,,13.36,7.68
All Providers Combined,Russia,,Dec-19,cellular,mean,,,20.58,10.55
All Providers Combined,Tajikistan,,Dec-19,cellular,median,,,6.11,3.47
All Providers Combined,Tajikistan,,Dec-19,cellular,mean,,,10.3,6.19
All Providers Combined,Uzbekistan,,Dec-19,cellular,median,,,6.17,3.47
All Providers Combined,Uzbekistan,,Dec-19,cellular,mean,,,9.51,5.73
All Providers Combined,Azerbaijan,,Jan-20,cellular,median,,,22.12,9.05
All Providers Combined,Azerbaijan,,Jan-20,cellular,mean,,,27.8,14.73
All Providers Combined,Armenia,,Jan-20,cellular,median,,,20.22,8.71
All Providers Combined,Armenia,,Jan-20,cellular,mean,,,29.49,12.51
All Providers Combined,Belarus,,Jan-20,cellular,median,,,10.38,5.42
All Providers Combined,Belarus,,Jan-20,cellular,mean,,,16.37,9.89
All Providers Combined,Kazakhstan,,Jan-20,cellular,median,,,11.89,7.09
All Providers Combined,Kazakhstan,,Jan-20,cellular,mean,,,18.91,10.21
All Providers Combined,Kyrgyzstan,,Jan-20,cellular,median,,,11.16,5.97
All Providers Combined,Kyrgyzstan,,Jan-20,cellular,mean,,,15.27,9.29
All Providers Combined,Russia,,Jan-20,cellular,median,,,13.23,6.77
All Providers Combined,Russia,,Jan-20,cellular,mean,,,20.58,9.85
All Providers Combined,Tajikistan,,Jan-20,cellular,median,,,5.18,2.23
All Providers Combined,Tajikistan,,Jan-20,cellular,mean,,,9.02,5.12
All Providers Combined,Uzbekistan,,Jan-20,cellular,median,,,6.16,3.27
All Providers Combined,Uzbekistan,,Jan-20,cellular,mean,,,9.3,5.54
All Providers Combined,Azerbaijan,,Feb-20,cellular,median,,,22.1,9.11
All Providers Combined,Azerbaijan,,Feb-20,cellular,mean,,,27.5,14.82
All Providers Combined,Armenia,,Feb-20,cellular,median,,,20.63,8.46
All Providers Combined,Armenia,,Feb-20,cellular,mean,,,29.03,12.07
All Providers Combined,Belarus,,Feb-20,cellular,median,,,9.93,5.21
All Providers Combined,Belarus,,Feb-20,cellular,mean,,,15.57,9.71
All Providers Combined,Kazakhstan,,Feb-20,cellular,median,,,11.85,6.78
All Providers Combined,Kazakhstan,,Feb-20,cellular,mean,,,18.52,9.85
All Providers Combined,Kyrgyzstan,,Feb-20,cellular,median,,,12.96,7.21
All Providers Combined,Kyrgyzstan,,Feb-20,cellular,mean,,,17.29,10.16
All Providers Combined,Russia,,Feb-20,cellular,median,,,13.07,6.87
All Providers Combined,Russia,,Feb-20,cellular,mean,,,20.43,9.97
All Providers Combined,Tajikistan,,Feb-20,cellular,median,,,5.28,2.49
All Providers Combined,Tajikistan,,Feb-20,cellular,mean,,,10.8,5.57
All Providers Combined,Uzbekistan,,Feb-20,cellular,median,,,6.88,3.57
All Providers Combined,Uzbekistan,,Feb-20,cellular,mean,,,10.09,5.8
All Providers Combined,Azerbaijan,,Mar-20,cellular,median,,,21.11,8.16
All Providers Combined,Azerbaijan,,Mar-20,cellular,mean,,,27.05,14.08
All Providers Combined,Armenia,,Mar-20,cellular,median,,,20.4,8.58
All Providers Combined,Armenia,,Mar-20,cellular,mean,,,29.32,12.37
All Providers Combined,Belarus,,Mar-20,cellular,median,,,8.96,4.99
All Providers Combined,Belarus,,Mar-20,cellular,mean,,,14.49,9.54
All Providers Combined,Kazakhstan,,Mar-20,cellular,median,,,10.83,6.06
All Providers Combined,Kazakhstan,,Mar-20,cellular,mean,,,17.69,9.33
All Providers Combined,Kyrgyzstan,,Mar-20,cellular,median,,,11.72,6.36
All Providers Combined,Kyrgyzstan,,Mar-20,cellular,mean,,,16.52,9.62
All Providers Combined,Russia,,Mar-20,cellular,median,,,12.89,6.64
All Providers Combined,Russia,,Mar-20,cellular,mean,,,20.16,9.71
All Providers Combined,Tajikistan,,Mar-20,cellular,median,,,5.48,2.26
All Providers Combined,Tajikistan,,Mar-20,cellular,mean,,,10.77,5.06
All Providers Combined,Uzbekistan,,Mar-20,cellular,median,,,6.88,3.44
All Providers Combined,Uzbekistan,,Mar-20,cellular,mean,,,10.07,5.82
All Providers Combined,Azerbaijan,,Apr-20,cellular,median,,,22.05,7.21
All Providers Combined,Azerbaijan,,Apr-20,cellular,mean,,,27.53,13.35
All Providers Combined,Armenia,,Apr-20,cellular,median,,,23.11,8.71
All Providers Combined,Armenia,,Apr-20,cellular,mean,,,33.23,12.95
All Providers Combined,Belarus,,Apr-20,cellular,median,,,8.63,4.21
All Providers Combined,Belarus,,Apr-20,cellular,mean,,,14.73,8.79
All Providers Combined,Kazakhstan,,Apr-20,cellular,median,,,10.01,5.21
All Providers Combined,Kazakhstan,,Apr-20,cellular,mean,,,17.45,8.66
All Providers Combined,Kyrgyzstan,,Apr-20,cellular,median,,,11.61,4.83
All Providers Combined,Kyrgyzstan,,Apr-20,cellular,mean,,,16.8,8.17
All Providers Combined,Russia,,Apr-20,cellular,median,,,12.06,5.86
All Providers Combined,Russia,,Apr-20,cellular,mean,,,19.28,8.99
All Providers Combined,Tajikistan,,Apr-20,cellular,median,,,5.22,2.06
All Providers Combined,Tajikistan,,Apr-20,cellular,mean,,,10.38,4.69
All Providers Combined,Uzbekistan,,Apr-20,cellular,median,,,6.55,2.86
All Providers Combined,Uzbekistan,,Apr-20,cellular,mean,,,9.68,5.36
All Providers Combined,Azerbaijan,,May-20,cellular,median,,,23.89,7.43
All Providers Combined,Azerbaijan,,May-20,cellular,mean,,,29.76,13.88
All Providers Combined,Armenia,,May-20,cellular,median,,,24.84,9.53
