Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Azerbaijan,All Providers Combined,Fixed,median,13.12,14.37,NA,NA,NA,Jun-21
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Azerbaijan,All Providers Combined,Fixed,mean,24.08,25.96,NA,NA,NA,Jul-21
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Azerbaijan,All Providers Combined,Fixed,median,12.81,14.13,NA,NA,NA,Jul-21
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Azerbaijan,All Providers Combined,Fixed,mean,25.36,27.25,NA,NA,NA,Aug-21
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Azerbaijan,All Providers Combined,Fixed,median,13.62,14.98,NA,NA,NA,Aug-21
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Azerbaijan,All Providers Combined,Fixed,mean,25.1,26.88,NA,NA,NA,Sep-21
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Azerbaijan,All Providers Combined,Fixed,median,14.5,15.34,NA,NA,NA,Sep-21
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Azerbaijan,All Providers Combined,Fixed,mean,26.22,28.1,NA,NA,NA,Oct-21
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Azerbaijan,All Providers Combined,Fixed,median,15.48,16.48,NA,NA,NA,Oct-21
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Azerbaijan,All Providers Combined,Fixed,mean,26.88,28.57,NA,NA,NA,Nov-21
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Azerbaijan,All Providers Combined,Fixed,median,16.47,17.34,NA,NA,NA,Nov-21
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Azerbaijan,All Providers Combined,Fixed,mean,27.76,29.49,NA,NA,NA,Dec-21
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Azerbaijan,All Providers Combined,Fixed,median,17.24,18.26,NA,NA,NA,Dec-21
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Azerbaijan,All Providers Combined,Fixed,mean,27,28.49,64,54,NA,Jan-22
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Azerbaijan,All Providers Combined,Fixed,median,17.46,18.12,15.1121,8.125,NA,Jan-22
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Azerbaijan,All Providers Combined,Fixed,mean,28.5,30.02,65,55,NA,Feb-22
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Azerbaijan,All Providers Combined,Fixed,median,18.7,19.51,14.2889,7.7167,NA,Feb-22
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Azerbaijan,All Providers Combined,Fixed,mean,30.45,32.99,63,52,NA,Mar-22
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Azerbaijan,All Providers Combined,Fixed,median,19.93,21.16,13.2667,7.3583,NA,Mar-22
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Azerbaijan,All Providers Combined,Fixed,mean,30.37,32.45,63,54,NA,Apr-22
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Azerbaijan,All Providers Combined,Fixed,median,20.28,21.9,13.2667,7.925,NA,Apr-22
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Azerbaijan,All Providers Combined,Fixed,mean,30.74,32.56,56,45,NA,May-22
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Azerbaijan,All Providers Combined,Fixed,median,21.01,22.96,14.7167,9.3287,NA,May-22
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Azerbaijan,All Providers Combined,Fixed,mean,31.58,32.48,54,42,NA,Jun-22
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Azerbaijan,All Providers Combined,Fixed,median,22,23.66,13.5583,8.7586,NA,Jun-22
