Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.61,8.67,NA,NA,NA,Oct-21
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.56,14.76,NA,NA,NA,Nov-21
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,28.23,8.24,NA,NA,NA,Nov-21
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.87,14.94,NA,NA,NA,Dec-21
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.06,8.51,NA,NA,NA,Dec-21
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,41.16,15.2,46,18,NA,Jan-22
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.96,9.6,34.2083,8.1184,NA,Jan-22
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,40.63,15.23,45,17,NA,Feb-22
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.85,9.29,34.0661,7.6808,NA,Feb-22
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,41.18,15.12,48,21,NA,Mar-22
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.4,8.97,34.5835,7.9734,NA,Mar-22
