Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date,Technology
2020-09-01T00:00:00Z,2020,9,3,2020-Q3,2020-09,Armenia,All Providers Combined,Fixed,mean,31.98,29.56,NA,NA,NA,Sep-20,NA
2020-09-01T00:00:00Z,2020,9,3,2020-Q3,2020-09,Armenia,All Providers Combined,Fixed,median,22.45,20.1,NA,NA,NA,Sep-20,NA
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Armenia,All Providers Combined,Cellular,mean,29.97,12.17,NA,NA,NA,Oct-20,cellular
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Armenia,All Providers Combined,Cellular,median,19,7.48,NA,NA,NA,Oct-20,cellular
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Armenia,All Providers Combined,Fixed,mean,31.29,28.59,NA,NA,NA,Oct-20,NA
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Armenia,All Providers Combined,Fixed,median,22.06,19.98,NA,NA,NA,Oct-20,NA
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Armenia,All Providers Combined,Cellular,mean,30.75,11.6,NA,NA,NA,Nov-20,cellular
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Armenia,All Providers Combined,Cellular,median,19.11,7.19,NA,NA,NA,Nov-20,cellular
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Armenia,All Providers Combined,Fixed,mean,30.75,28.11,NA,NA,NA,Nov-20,NA
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Armenia,All Providers Combined,Fixed,median,21.47,20.1,NA,NA,NA,Nov-20,NA
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Armenia,All Providers Combined,Cellular,mean,32.36,12.21,NA,NA,NA,Dec-20,cellular
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Armenia,All Providers Combined,Cellular,median,21.09,7.83,NA,NA,NA,Dec-20,cellular
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Armenia,All Providers Combined,Fixed,mean,33.38,30.96,NA,NA,NA,Dec-20,NA
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Armenia,All Providers Combined,Fixed,median,24.22,21.74,NA,NA,NA,Dec-20,NA
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Armenia,All Providers Combined,Cellular,mean,32.91,12.41,NA,NA,NA,Jan-21,cellular
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Armenia,All Providers Combined,Cellular,median,21.14,7.94,NA,NA,NA,Jan-21,cellular
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Armenia,All Providers Combined,Fixed,mean,35.16,33.25,NA,NA,NA,Jan-21,NA
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Armenia,All Providers Combined,Fixed,median,25.69,24.08,NA,NA,NA,Jan-21,NA
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Armenia,All Providers Combined,Cellular,mean,32.5,11.97,NA,NA,NA,Feb-21,cellular
