Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,30.26,16.11,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Armenia,All Providers Combined,Cellular,cellular,median,20.74,9.89,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Armenia,All Providers Combined,Cellular,cellular,mean,29.76,13.3,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Belarus,All Providers Combined,Cellular,cellular,median,9.13,4.83,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Belarus,All Providers Combined,Cellular,cellular,mean,14.84,9.89,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kazakhstan,All Providers Combined,Cellular,cellular,median,12,9.48,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kazakhstan,All Providers Combined,Cellular,cellular,mean,18.76,12.19,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kyrgyzstan,All Providers Combined,Cellular,cellular,median,11.17,7.83,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Kyrgyzstan,All Providers Combined,Cellular,cellular,mean,15.69,10.96,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Russia,All Providers Combined,Cellular,cellular,median,13.05,7.56,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Russia,All Providers Combined,Cellular,cellular,mean,20.38,10.45,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Tajikistan,All Providers Combined,Cellular,cellular,median,5.84,2.58,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Tajikistan,All Providers Combined,Cellular,cellular,mean,9.82,5.53,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Uzbekistan,All Providers Combined,Cellular,cellular,median,6.09,3.53,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Uzbekistan,All Providers Combined,Cellular,cellular,mean,9.41,5.66,NA,NA,NA,Nov-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.25,11.08,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,32.66,16.2,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Armenia,All Providers Combined,Cellular,cellular,median,20.64,9.92,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Armenia,All Providers Combined,Cellular,cellular,mean,30.27,13.24,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Belarus,All Providers Combined,Cellular,cellular,median,10.06,5.19,NA,NA,NA,Dec-19
