Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Tajikistan,All Providers Combined,Fixed,median,7.35,5.1,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Tajikistan,All Providers Combined,Fixed,mean,19.05,18.75,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Uzbekistan,All Providers Combined,Fixed,median,7.09,6.78,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Uzbekistan,All Providers Combined,Fixed,mean,18.49,17.8,NA,NA,NA,Aug-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Fixed,median,9.19,9.11,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Fixed,mean,18.54,20.03,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Armenia,All Providers Combined,Fixed,median,18.91,16.92,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Armenia,All Providers Combined,Fixed,mean,25.61,25.03,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Belarus,All Providers Combined,Fixed,median,34.29,29.11,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Belarus,All Providers Combined,Fixed,mean,50.14,40.59,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kazakhstan,All Providers Combined,Fixed,median,20.33,19.45,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kazakhstan,All Providers Combined,Fixed,mean,38.09,38.68,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kyrgyzstan,All Providers Combined,Fixed,median,21.49,23.9,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Kyrgyzstan,All Providers Combined,Fixed,mean,28.37,29.88,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Russia,All Providers Combined,Fixed,median,40.15,44.36,NA,NA,NA,Sep-19
